题号,题干,A,B,C,D,E,答案,难度,题型
68979,物质运动形式之间的相互转化是一种(),偶然现象,暂时现象,特殊现象,普遍现象,,D,易,单选题
68981,设想没有运动的物质是一种(),形而上学观点,相对主义观点,庸俗进化论观点,唯心主义观点,,A,易,单选题
68983,动中有静，静中有动，说明(),运动是物质的运动,物质是运动的物质,运动与静止是辨证统一的,唯物主义和辩证法的统一,,C,易,单选题
68984,从动物心理发展为人类意识，起决定作用的是（）,生产劳动,文明的发展,语言的产生,人脑的形成,,A,易,单选题
68986,我国明朝王守仁提出“心外无物”，这种观点属于(),经验主义观点,形而上学观点,主观唯心主义观点,客观唯心主义观点,,C,易,单选题
68987,辩证唯物主义认为事物发展的规律是（ ）,事物联系和发展的基本环节,事物内在的、本质的、稳固的联系,思维对事物本质的概括和反映,用来整理感性材料的思维形式,,B,易,单选题
68988,“一切以条件、地点和事件为转移”，这是（ ）,唯物辩证法关于普遍联系的观点,取消了人的主观能动性的观点,机械唯物论的观点,夸大了客观条件作用的观点,,A,易,单选题
68989,世界上的事物千差万别，其根据是（ ）,矛盾的特殊性,矛盾的普遍性,矛盾的同一性,矛盾的斗争性,,A,易,单选题
68990,唯物辩证法的总特征是（ ）,唯物的观点和辩证的观点,运动和静止相统一的观点,理论和实践相结合的观点,联系的观点和发展的观点,,D,易,单选题
68991,把同质事物相互区别开来的依据是（ ）,事物的特殊矛盾,事物的量的规定性,事物转化的关节点,事物的各种属性,,B,易,单选题
68992,在生活和工作中，凡事都要掌握分寸，坚持适度原则，防止“过”和“不及”。这在哲学上符合（ ）,量和质相统一的原理,内因和外因相结合的原理,内容和形式相互作用的原理,理论和实践相统一的原理,,A,易,单选题
68993,区分量变和质变的根本标志是（ ）,事物的变化是否顺利和显著,事物变化持续时间的长短,事物量的变化是否超出度的范围,事物的质变是否引起了新的量变,,C,易,单选题
68994,“千里之行，始于足下”一语说明（ ）,量变与质变具有本质差别,掌握事物的属性具有重要意义,量变是质变的必要准备,掌握事物的度具有重要意义,,C,易,单选题
68995,按照唯物辩证法的观点，资本主义社会从自由竞争到垄断阶段的变化是（ ）,单纯的量变,总的量变过程中的部分质变,质变过程中的量的扩张,根本性的质变,,B,易,单选题
68996,事物发展的基本方向是由（ ）,内因通过外因决定的,内因决定的,矛盾的同一性决定的,矛盾的斗争性决定的,,B,易,单选题
68997,以下所列属于两点论和重点论相统一的观点是（ ）,统筹兼顾，抓住关键,四面出击,四平八稳,调和折衷,,A,易,单选题
68998,矛盾范畴所包含的两种基本属性是（ ）,普遍性和特殊性,平衡性和不平衡性,对抗性和非对抗性,同一性和斗争性,,D,易,单选题
68999,唯物辩证法的否定之否定规律揭示了事物发展的（ ）,方向和道路,结构和功能,源泉和动力,形式和状态,,A,易,单选题
69000,下列现象符合辩证否定的是（ ）,花朵开放时花蕾消失,踩碎谷种,洪水冲毁庄稼,砍伐树木,,A,易,单选题
69001,“取其精华，去其糟粕”的哲学原理是（ ）,扬弃,透过现象看本质,一切以时间、地点和条件为转移,一般寓于个别之中,,A,易,单选题
69002,下列哪些现象属于因果关系（ ）,白天过后是黑夜,闪电雷鸣,水涨船高,月晕而风,,C,易,单选题
69003,必然性和偶然性的相互依赖表现在（ ）,必然性是大量偶然性的堆积,必然性为偶然性开辟道路,必然性通过大量的偶然性表现出来,必然性包含了大量的偶然性,,C,易,单选题
69004,在一切工作中，都不要“耍花架子”，这就告诉我们在形式和内容的关系上（ ）,不要搞任何形式,要摆脱一切形式对工作的干扰,形式应该服从内容,只注意工作的内容,,C,易,单选题
69005,主观辩证法与客观辩证法的关系是（ ）,抽象与具体的关系,唯心主义与唯物主义的关系,反映与被反映的关系,唯心辩证法与唯物辩证法的关系,,C,易,单选题
69006,哲学上的物质范畴与自然科学上的物质范畴的关系是（ ）,形式和内容的关系,本质和现象的关系,本源和派生的关系,普遍和特殊的关系,,D,易,单选题
69007,唯物辩证法的因果联系是指（ ）,一切同时并存的现象之间的联系,引起和被引起的现象之间的联系,一切前后相继的现象之间的联系,反映和被反映的现象之间的联系,,B,易,单选题
69008,揭示事物发展是前进性和曲折性统一的规律是（ ）,质量互变规律,联系和发展的规律,对立统一规律,否定之否定规律,,D,易,单选题
69009,事物发展过程中的“度”是指（ ）,事物质变的临界点,事物质变的关节点,事物保持一定量的质的限度,事物保持一定质的量的限度,,D,易,单选题
69011,世界上唯一不变的是变化，这一论断的含义是（ ）,变是世界的本质,变是绝对的，不变是相对的,世界上只有变，没有不变,变与不变是绝对对立的,,B,易,单选题
69013,有一则箴言：“在溪水和岩石的斗争中，胜利的总是溪水，不是因为力量，而是因为坚持。”“坚持就是胜利”的哲理在于（ ）,量变必然引起质变,有其因必有其果,必然性通过偶然性开辟道路,肯定中包含着否定的因素,,A,易,单选题
69014,数学家华罗庚在一次报告中以“一支粉笔多长为好”为例来讲解他所倡导的优选法。他解释道：“每支粉笔都要丢掉一段一定短的粉笔头，单就这一点来说，愈长愈好。但太长了，使用起来很不方便，而且容易折断。每断一次，必然浪费一个粉笔头，反而不合适。因而就出现了粉笔多长合适的问题－这就是一个优选问题。”所谓优选问题，从辩证法的角度看，就是要（ ）,坚持适度原则,全面考虑事物属性的多样性,保持事物的质的稳定性,注重量的积累,,A,易,单选题
69015,唯物辩证法和形而上学的根本分歧在于是否承认（ ）,事物是客观存在的,矛盾是事物发展的动力,事物是普遍联系的,事物是运动发展的,,B,易,单选题
69016,“只见树木，不见森林”、“一叶障目，不见泰山”。这是一种（ ）,相对主义的观点,不可知论的观点,形而上学观点,庸俗唯物主义的观点,,C,易,单选题
69017,唯物辩证法的实质与核心是（ ）,否定之否定规律,对立统一规律,普遍联系规律,永恒发展规律,,B,易,单选题
69018,唯物辩证法认为，发展的实质是（ ）,事物的运动变化,事物数量的增加,事物的量变引起质变,新事物的产生和旧事物的灭亡,,D,易,单选题
69019,“任何事物的存在和发展都是有条件的，一切以时间、地点、条件为转移。”这是一种（ ）,形而上学不变论观点,唯物辩证法观点,唯条件论观点,外因论观点,,B,易,单选题
69020,下列选项中，体现矛盾双方相互转化这一哲学道理的是（ ）,月晕而风，础润而雨,乐极生悲，苦尽甘来,千里之行，始于足下,野火烧不尽，春风吹又生,,B,易,单选题
69021,在我国战国时期，公孙龙提出“白马非马”的命题。这个命题的错误在于它割裂了（ ）,矛盾的主要方面和次要方面的联系,矛盾的特殊性和普遍性的联系,主要矛盾和次要矛盾的联系,矛盾的同一性和斗争性的联系,,B,易,单选题
69022,在唯物辩证法看来，房子同平房、楼房、别墅等的关系属于（ ）,内容和形式的关系,共性和个性的关系,整体和部分的关系,本质和现象的关系,,B,易,单选题
69023,“一把钥匙开一把锁”，这句话强调的是（ ）,要承认事物运动的规律性,要注重分析矛盾的特殊性,要注重分析矛盾的普遍性,要承认事物的客观性,,B,易,单选题
69025,建设中国社会主义先进文化，必须批判地继承中国传统文化，取其精华，去其糟粕。这样做依据的哲学原理是（ ）,两点论与重点论统一的原理,共性与个性关系的原理,内因与外因关系的原理,辩证否定的原理,,D,易,单选题
69026,“在对现存事物的肯定的理解中同时包含着对现存事物的否定的理解，即对现存事物必然灭亡的理解。”这是一种（ ）,庸俗进化论的观点,激变论的观点,唯物辩证法的观点,相对主义诡辩论的观点,,C,易,单选题
69028,全盘否定中国传统文化的历史虚无主义，在哲学上是犯了（ ）,唯心主义先验论的错误,形而上学否定观的错误,经验论的错误,激变论的错误,,B,易,单选题
69030,我国在社会主义现代化建设，坚持独立自主、自力更生和对外开放的方针。它的理论依据是（ ）,事物发展的量变和质变辩证关系的原理,矛盾的普遍性和特殊性辩证关系的原理,事物发展的内因和外因辩证关系的原理,矛盾的同一性和斗争性辩证关系的原理,,C,易,单选题
69031,“金无足赤，人无完人”，这是一种（ ）,相对主义观点,折衷主义观点,形而上学观点,辩证法观点,,D,易,单选题
69033,揭示事物发展的趋势和道路的规律是（ ）,本质表现为现象的规律,质量互变规律,否定之否定规律,对立统一规律,,C,易,单选题
69034,在内容和形式的矛盾运动中（ ）,内容和形式都处在不停的显著变动中,内容的变化总是落后于形式的变化,内容是相对稳定的，形式是活跃易变的,内容是活跃易变的，形式是相对稳定的,,D,易,单选题
69035,真象和假象的区别在于（ ）,真象是客观的，假象是主观的,真象从正面直接地表现本质，假象从反面歪曲地表现本质,真象是确定的，假象是不确定的,真象是稳定的，假象是变动不居的,,B,易,单选题
69036,鲁迅评《三国演义》时说：“至于写人，亦颇有失，以致欲显刘备之长厚而似伪，状诸葛之多智而近妖。”这一评述蕴含的哲理是（ ）,要把事物看作一个整体,要把握事物的度,对事物既要肯定，又要否定,要区分事物的两重性,,B,易,单选题
69037,“挟泰山以超北海，语人曰吾不能，是诚不能也。为长者折枝，语人曰吾不能，是不为也，非不能也。”《孟子》中的这段话启示我们，做事情时要区分可能性和不可能性，二者的区别在于（ ）,现实中有无根据和条件,现实中的根据和条件是否充分,对人是否有利,人的主观努力程度,,A,易,单选题
69038,辩证法的否定即“扬弃”，它的含义是指（ ）,纯粹的否定,抛弃,事物中好的方面和坏的方面的组合,既克服又保留,,D,易,单选题
69039,“从个别到一般，从一般到个别”的思维方法是（ ）,抽象到具体,实践到认识,归纳与演绎,分析与综合,,C,易,单选题
69040,从哲学上讲，和谐就是指（ ）,矛盾双方的绝对同一,事物之间不存在矛盾,矛盾的一种特殊形式,事物之间的矛盾没有斗争性,,C,易,单选题
69043,驳倒不可知论的关键在于（或对不可知论最有力的驳斥）（）,把科学的实践观引入认识论,指出感性认识和理性认识的辨证关系,指出事物的本质和现象是同一的,指出人们可以通过感觉反映世界,,A,易,单选题
69044,辩证唯物主义认识论的首要的、基本的观点是（      ）,矛盾的观点,实践的观点,物质的观点,发展的观点,,B,易,单选题
69045,人类最基本的实践活动是（）,生产实践,科学实验,处理社会关系的实践,以上都不是,,A,易,单选题
69047,“存在就是被感知”，这是典型的（）,客观唯心主义观点,机械反映论观点,反映论观点,主观唯心主义观点,,D,易,单选题
69048,“实践是认识的来源”，这种观点是说（）,只有直接经验来自实践,一切认识都要直接参加实践活动才能获得,一切认识归根到底都是从实践中得来的,只要参加实践活动就能获得正确认,,C,易,单选题
69049,唯物主义认识论都坚持（）,反映论,经验论,唯理论,先验论,,A,易,单选题
69050,辩证唯物主义认为，认识的本质在于（）,人脑对客观事物的主体选择,人脑的客观反映,人脑对客观事物的能动反映,人脑的主观创造,,C,易,单选题
69052,所谓认识的主体是指（）,人的大脑,主观认识,是从事改造客观世界活动的实践着的人,客观对象,,C,易,单选题
69053,认识论中的主体性原则是指（ ）,主体的能动性,客体反映主体,主观性原则,主体决定客体,,A,易,单选题
69054,认识的主体是指处于一定社会关系中从事实践活动的人，主体的根本属性是（）,具有感觉器官、思维器官和实践能力,社会属性,自然属性,认识属性,,B,易,单选题
69055,主体对客体的作用本质上是一种能力的追求，认识主体最本质的特征是（）,社会性,创造性,适应性,自主性,,B,易,单选题
69056,认识的客体是指（）,自然界和社会,绝对精神,进入认识范围内的客观事物,客观事物,,C,易,单选题
69058,主体要和客体发生关系是通过（）,认识,领悟,反映,实践,,D,易,单选题
69059,马克思主义认为，主客体之间的价值关系是指（）,主体对客体的改造和变革的结果,主体对客体的能动的反映,客体对于主体的有用性和效益性,主体对客体的物质欲望和要求,,C,易,单选题
69060,"马克思主义认识论认为,能动的反映是（）",物质性与精神性的统一,摹写和创造的统一,真理的本性与实践特点的统一,可知论与不可知论的统一,,B,易,单选题
69061,人类认识发展的根本动力是（   ）,好奇心理,社会实践,求知欲望,科学兴趣,,B,易,单选题
69063,在下列成对理论中，属于唯物主义与唯心主义对立的是（ ）,宿命论与唯意志论的对立,能动反映论与机械反映论的对立,可知论与不可知论的对立,反映论与先验论的对立,,D,易,单选题
69064,实践的中介是（）,对一事物存在和发展有联系的各种要素的总和,构成事物一切要素的总和,受命于主观，见之于客观的活动,各种形式的工具、手段及其运用的程序和方法,,D,易,单选题
69065,实践高于理论是因为实践具有（）,直接现实性的优点,普遍有用性的优点,相对性和绝对性相统一的优点,主观能动性的优点,,A,易,单选题
69066,下列选项中，正确表述一个完整认识过程的是（）,实践—认识—实践,感觉—概念—感觉,概念—判断—推理,感觉—知觉—表象,,A,易,单选题
69067,人类认识的发展规律和道路是（）,由感性认识到理性认识，由理性认识到实践,实践、认识、再实践，循环往复以至无穷，不断深入发展,认识——实践——认识的辨证运动,由理性认识到实践，再由理性认识到实践的多次反复,,B,易,单选题
69068,“真理是人造的供人使用的工具”的看法是（）,辩证唯物主义,客观唯心主义,主观唯心主义,机械唯物主义,,C,易,单选题
69069,人们认识的起点是（ ）,社会意识,感觉,客观事物,理性认识,,B,易,单选题
69071,认识的初级阶段是（）,感性认识,直接认识,理性认识,全面认识,,A,易,单选题
69072,由感性认识上升到理性认识的过程是（）,主观随意的过程,完全自发的过程,积极能动的过程,消极被动的过程,,C,易,单选题
69073,理性认识的特点是（）,借助于抽象思维达到对事物本质的把握,通过感觉器官对客观事物的直接把握,对感性认识的综合,与客观事物无关的人的自由创造物,,A,易,单选题
69074,概念、判断、推理是（）,理性认识的三种形式,辩证法的三种形式,感性认识的三种形式,唯物主义的三种形式,,A,易,单选题
69075,在认识过程中更为重要意义的飞跃是指( ),从外在形象到内在本质的飞跃,从肯定阶段到否定阶段的飞跃,从理性认识到实践的飞跃,从个性认识到共性认识的飞跃,,C,易,单选题
69076,一个正确的认识往往需要经过(       ),由实践到认识、由认识到实践的过程,"由物质到精神,由精神到物质的过程","由感性认识到理性认识,由理性认识到实践的过程",由实践到认识、由认识到实践的多次反复才能完成,,D,易,单选题
69079,真理就是(      ),对人类生存有用的理论,客观事物及其规律,大多数人同意的观点,对客观事物本质及其规律的正确反映,,D,易,单选题
69080,"坚持真理的客观性,就是(      )",在真理观上坚持了辩证法,在真理观上坚持了形而上学,在真理观上坚持了唯物主义,在真理观上坚持了唯心主义,,C,易,单选题
69081,真理与谬误的本质区别在于(      ),"真理是相对的,谬误是绝对的","真理是对外部世界的反映,谬误是自己头脑里存在的","真理是有用的,谬误是有害的",是否正确反映了事物的本质及其规律,,D,易,单选题
69082,有人认为，一定历史条件下被实践证明为正确的理论，是永恒不变的终极真理这是一种（）,相对主义观点,形而上学观点,唯物辩证法观点,唯心主义观点,,B,易,单选题
69083,真理既是绝对的，又是相对的.这是真理问题上的（）,唯物论,二元论,诡辩论,辩证法,,D,易,单选题
69084,绝对真理与相对真理是（）,两者有着固定不变的界限,两种完全相同的真理,两种完全不同的真理,同一个真理的两种不同属性,,D,易,单选题
69085,任何真理都是对事物一定程度、一定层次近似正确的反映，都是随着实践的发展而发展的.这说明真理具有（）,绝对性,相对性,有用性,社会性,,B,易,单选题
69087,"谬误与真理的关系是对立统一的,因此谬误（）",在一定条件下可以变为真理,是对客观事物的正确反映,永远也不能变为真理,含在相对真理之中的,,A,易,单选题
69088,古希腊的亚里士多德提出物体的降落速度与物体的重量成正比，人们长期把它视为真理通过在比萨斜塔所做的自由落体试验，推翻了亚里士多德的观点.这件事说明（）,科学理论对实践具有指导作用,只有理性认识才能把握事物的本质,实践是检验认识正确与否的惟一标准,实践是认识的根本目的,,C,易,单选题
69090,恩格斯说：“人的智力是按照人如何学会改造自然界而发展的。”这说明（）,人具有认识自然的能力,人的认识具有主观能动性,自然界是认识发展的动力,实践是认识发展的动力,,D,易,单选题
69091,社会存在是指（　　　）,社会管理体制,社会物质生活条件,社会政治法律制度,社会精神生活过程,,B,易,单选题
69092,在社会发展中起决定性的因素是（　　　　）,人口因素,地理环境,生产方式,社会风气,,C,易,单选题
69093,"""社会形态发展是自然历史过程""，指的是（　　　　）",社会形态的发展与主体的选择无关,社会形态的发展与自然界的发展完全一样,社会形态的发展是纯粹自发的过程,社会形态的发展是一种客观的有规律的运动过程,,D,易,单选题
69094,物质资料的生产方式包括（　　　）,劳动资料和劳动对象两个方面,生产关系和生产资料两个方面,劳动者和劳动工具两个方面,生产力和生产关系两个方面,,D,易,单选题
69095,人类全部社会关系中最基础的关系是（　　　　）,思想关系,政治关系,生产关系,血缘关系,,C,易,单选题
69096,在下列选项中，属于非意识形态的是（　　　）,哲学,逻辑学,宗教,艺术,,B,易,单选题
69097,下列各组社会意识形式全部属于意识形态范围的是(　　 ),.政治思想、管理学、语言学,法律思想、逻辑学、宗教,哲学、艺术、环境科学,法律思想、哲学、宗教,,D,易,单选题
69098,从社会意识反映社会存在的水平高低不同的层次，可以把社会意识划分为（　　　）,有阶级性的意识与无阶级性的意识,先进意识与落后意识,个体意识与群体意识,社会心理与思想体系,,D,易,单选题
69099,人类社会发展的基本动力是（　　）,科学技术革命,改革开放,阶级斗争,社会基本矛盾,,D,易,单选题
69100,人类社会的基本矛盾是（　　）,人和自然界、人和人之间的矛盾,先进和落后、正确和错误之间的矛盾,个人和社会、自然界和社会之间的矛盾,生产力和生产关系、经济基础和上层建筑之间的矛盾,,D,易,单选题
69101,反映生产力发展水平的主要标志是  （　　）,劳动对象的质量,生产工具的水平,运输设备的状况,劳动者的经验技能,,B,易,单选题
69102,生产关系是反映（　　　）,人与人之间利害关系的范畴,人与人之间经济关系的范畴,人与社会之间关系的范畴,人与自然之间关系的范畴,,B,易,单选题
69104,生产关系包括多方面的内容，其中起决定作用的内容是(      ),生产资料的所有制形式,产品的分配形式,人们在生产过程中的相互关系,产品的交换方式,,A,易,单选题
69105,在生产力和生产关系这对矛盾中(      ),生产力决定生产关系,生产关系可以超越生产力的发展水平,生产力落后于生产关系的变化,生产关系是生产力的物质基础,,A,易,单选题
69108,上层建筑是一个庞大的系统，由两在部分构成。这两部分是（　　）,政治上层建筑和观念上层建筑,政治思想和法律思想,行政机关和立法机关,政治制度和法律制度,,A,易,单选题
69109,历史唯物主义和历史唯心主义在历史创造者问题上的根本对立在于是否承认（　　）,杰出人物的历史发展中的作用,思想动机在历史发展中的作用,剥削阶级代表人物在历史发展中的作用,人民群众是历史发展的决定力量,,D,易,单选题
69110,在经济基础和上层建筑这对矛盾中（    ）,上层建筑决定经济基础的变革要求,上层建筑决定经济基础的性质,上层建筑各部分随着经济基础的变更立即发生变化,上层建筑会对经济基础具有反作用,,D,易,单选题
69111,国体和政体的关系属于(      ),本质和现象的关系,必然和偶然的关系,普遍和特殊的关系,内容和形式的关系,,D,易,单选题
69112,从起源上看，国家是（　　　）,维护社会秩序和社会正义的产物,阶级矛盾不可调和的产物,适应管理社会公共事务需要的产物,防御外敌颠覆活动的产物,,B,易,单选题
69113,国体指的是（　　 ）,国家政权的社会职能,国家政权的组织形式和管理形式,国家政权的政治职能,社会各阶级在国家政权中的地位和作用,,D,易,单选题
69114,国家政权主要代表（　　）,统治阶级的利益,先进阶级的利益,劳动人民的利益,剥削阶级的利益,,A,易,单选题
69115,马克思主义认为，阶级斗争的根源是（　　）,不同阶级在政治态度上的根本对立,不同阶级在经济利益上的根本对立,不同阶级在意识形态上的根本对立,不同阶级在职业分工上的根本对立,,B,易,单选题
69116,马克思主义认为，阶级产生的基本前提是（　　）,通过做投机生意而攫取高额利润,通过放高利贷而获取高额利息,由于生产力发展而出现剩余产品,通过发动战争掠夺其他氏族的财产,,C,易,单选题
69117,划分阶级的唯一标准是（）,经济标准,道德标准,政治标准,社会标准,,A,易,单选题
69119,社会改革是（　　）,改变社会经济制度,对社会体制进行改善和革新,改变人的思想观念,改变社会政治制度,,B,易,单选题
69120,社会革命的根本问题是（    ）,争取公平正义问题,争取人类解放问题,夺取国家政权问题,争取民主自由问题,,C,易,单选题
69121,社会革命的最深刻的根源在于（　　）,人口过多和资源匮乏的矛盾,生产力和生产关系的矛盾,先进生产力和落后生产力的矛盾,先进文化和落后文化的矛盾,,B,易,单选题
69122,社会革命首要的基本的标志是（      ）,合理的经济体制代替不合理的经济体制,国家政权从反动阶级手里转移到革命的进步的阶级手里,先进的政治思想代替落后的政治思想,高效率的政治体制代替低效率的政治体制,,B,易,单选题
69123,下列各项属于社会革命的是（　　　）,先进阶级推翻反动统治阶级的国家政权的斗争,社会各阶级之间的经济斗争,剥削阶级和被剥削阶级之间的激烈的政治斗争,各种不同政治势力之间的武装斗争,,A,易,单选题
69124,马克思说“革命是历史的火车头”，这句话形象而深刻地说明了(     ),革命在推动社会发展中的重要作用,革命阶级要积极主动地制造革命以推动社会发展生产中起主导作用和超前作用,革命是社会发展的最深刻的根源,暴力革命是实现社会形态更替的惟一形式,,A,易,单选题
69126,"""人民群众是历史的创造者""这一基本观点的理论前提（　　）",生产方式是人类社会存在和发展的基础的原理,意识对物质具有能动反作用的原理,人的本质属性是社会性的原理,人口因素对社会发展有制约作用的原理,,A,易,单选题
69127,历史人物分为杰出人物和反动人物。杰出人物是指 （　　）,无产阶级的伟大政治家和思想家,对历史发展起促进作用的伟大人物,上升时期的剥削阶级的先进代表,历史上被剥削阶级的革命领袖,,B,易,单选题
69128,人民群众创造历史的活动受历史条件的制约。这种观点是说（　）,人民群众不是历史的创造者,人民群众不是社会发展的决定力量,人民群众不能随心所欲地创造历史,人民群众不是历史活动的主体,,C,易,单选题
